school_id,school_name,postal_code,selected_candidate_url,domain,schools_sharing_selected_url,scope,identity_status,candidate_urls,normalization_errors
CENTRE:ST0172,PCF Sparkletots Preschool @ Tampines North Blk 443 (CC),520443,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0145,PCF SPARKLETOTS PRESCHOOL @ TAMPINES EAST Blk 385 (CC),520385,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0036,PCF Sparkletots Preschool @ Tampines Changkat Blk 273 (CC),520273,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0032,PCF Sparkletots Preschool @ Tampines Changkat Blk 112 (CC),521112,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:SK0006,Skool4Kidz Preschool,521524,https://skool4kidz.com.sg/,skool4kidz.com.sg,28,shared_operator_page_candidate,not_verified,https://skool4kidz.com.sg/,
CENTRE:RC1903,Little Seeds Preschool,521159,https://www.littleseeds.edu.sg/,www.littleseeds.edu.sg,15,shared_operator_page_candidate,not_verified,https://www.littleseeds.edu.sg/,
CENTRE:PT9522,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,529541,https://www.littleskoolhouse.com/,www.littleskoolhouse.com,15,shared_operator_page_candidate,not_verified,https://www.littleskoolhouse.com/ | https://www.littleskoolhouse.com/our-centres/at-ocbc-tampines,
CENTRE:PT9463,STAR LEARNERS @ TAMPINES EAST PTE LTD,520297,https://starlearners.com.sg/our-centres/tampines-east,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/tampines-east,
CENTRE:PT9273,Little Footprints Preschool Group Pte Ltd,520372,https://www.littlefootprints.edu.sg/,www.littlefootprints.edu.sg,37,shared_operator_page_candidate,not_verified,https://www.littlefootprints.edu.sg/,
CENTRE:PT9189,STAR LEARNERS @ TAMPINES PTE. LTD.,520241,https://starlearners.com.sg/our-centres/tampines,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/tampines,
CENTRE:PT9119,SUNSHINE KIDS CARE CENTRE @ TAMPINES PTE. LTD.,521519,,,0,unavailable,unavailable,,
CENTRE:PT8546,Small Wonder Preschool Tampines East (Changkat),520305,https://www.smallwonderpreschool.com/,www.smallwonderpreschool.com,5,shared_operator_page_candidate,not_verified,https://www.smallwonderpreschool.com/,
CENTRE:PT8480,CARPE DIEM YOUNG HEARTS PTE. LTD.,520355,https://www.carpediem.com.sg/,www.carpediem.com.sg,15,shared_operator_page_candidate,not_verified,https://www.carpediem.com.sg/,
CENTRE:PT8461,CARPE DIEM YOUNG MINDS PTE. LTD.,520219,https://www.carpediem.com.sg/,www.carpediem.com.sg,15,shared_operator_page_candidate,not_verified,https://www.carpediem.com.sg/,
CENTRE:PT6100,LEARNING KIDZ EDUCARE PTE. LTD.,529653,https://www.learningkidz.com.sg/,www.learningkidz.com.sg,2,shared_operator_page_candidate,not_verified,https://www.learningkidz.com.sg/,
CENTRE:NT0489,MY FIRST SKOOL,520341,https://www.myfirstskool.com/tm4-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/tm4-lifesg,
CENTRE:NT0280,MY FIRST SKOOL,522487,https://www.myfirstskool.com/tmc-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/tmc-lifesg,
CENTRE:YM0197,MY WORLD PRESCHOOL LTD.,732781,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:YM0160,MY WORLD PRESCHOOL LTD.,732787,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:YM0154,MY WORLD PRESCHOOL LTD.,730725,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:PT9343,LITTLE TREASURES CHILDCARE @ WDLS CIRCLE PTE LTD,730749,https://www.littletreasures.com.sg/,www.littletreasures.com.sg,3,shared_operator_page_candidate,not_verified,https://www.littletreasures.com.sg/,
CENTRE:NT0574,MY FIRST SKOOL,730676,https://www.myfirstskool.com/wdc07-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/wdc07-lifesg,
CENTRE:YM0110,MY WORLD PRESCHOOL LTD.,520855,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:PT9909,Ace @ Work Childcare Pte Ltd (TMP939),520939,https://www.aceatwork.com.sg/,www.aceatwork.com.sg,8,shared_operator_page_candidate,not_verified,https://www.aceatwork.com.sg/,
CENTRE:PT9782,ARTEMIS PRESKOOL @ TAMPINES,521866,https://artemispreskool.com/contact,artemispreskool.com,7,shared_operator_page_candidate,not_verified,https://artemispreskool.com/contact,
CENTRE:PT8963,Star Learners @ Tampines West Pte. Ltd.,520823,https://starlearners.com.sg/our-centres/tampines-west,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/tampines-west,
CENTRE:PT7900,ELFA Preschool @ Tampines,521866,https://elfapreschools.com/singapore/tampines,elfapreschools.com,1,school_specific_candidate,not_verified,https://elfapreschools.com/singapore/tampines,
CENTRE:YM0050,MY WORLD PRESCHOOL LTD.,521113,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:PT8140,LITTLE GREENHOUSE @ TAMPINES EAST PTE. LTD.,520473,https://www.littlegreenhouse.com.sg/,www.littlegreenhouse.com.sg,14,shared_operator_page_candidate,not_verified,https://www.littlegreenhouse.com.sg/,
CENTRE:ST0281,PCF Sparkletots Preschool @ Sengkang North Blk 206A (EY),541206,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0140,PCF Sparkletots Preschool @ Sengkang North Blk 262A (CC),541262,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0089,PCF Sparkletots Preschool @ Sengkang North Blk 298B (CC),542298,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0079,PCF Sparkletots Preschool @ Sengkang North Blk 290A (CC),541290,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:PT9337,AGAPE LITTLE UNI COMPASSVALE,542293,,,0,unavailable,unavailable,,
CENTRE:PT9159,Little Footprints Preschool Pte Ltd,541201,https://www.littlefootprints.edu.sg/,www.littlefootprints.edu.sg,37,shared_operator_page_candidate,not_verified,https://www.littlefootprints.edu.sg/,
CENTRE:PT9153,Little Footprints Preschool Pte Ltd,544260,https://www.littlefootprints.edu.sg/,www.littlefootprints.edu.sg,37,shared_operator_page_candidate,not_verified,https://www.littlefootprints.edu.sg/,
CENTRE:PT8834,ESHKOL VALLEY @ SENGKANG PEARL PTE. LTD.,541212,,,0,unavailable,unavailable,,
CENTRE:NT0477,MY FIRST SKOOL,544203,https://www.myfirstskool.com/cv3-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/cv3-lifesg,
CENTRE:NT0473,MY FIRST SKOOL,541295,https://www.myfirstskool.com/cv2-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/cv2-lifesg,
CENTRE:NT0440,MY FIRST SKOOL,540230,https://www.myfirstskool.com/cvc-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/cvc-lifesg,
CENTRE:YM0199,MY WORLD PRESCHOOL LTD.,540172,https://www.myworld.org.sg/,www.myworld.org.sg,54,shared_operator_page_candidate,not_verified,https://www.myworld.org.sg/,
CENTRE:ST0278,PCF Sparkletots Preschool @ Sengkang East Blk 103 (EY),540103,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0085,PCF Sparkletots Preschool @ Sengkang East Blk 123A (CC),541123,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:ST0008,PCF Sparkletots Preschool @ Sengkang East Blk 194 (CC),540194,https://www.pcf.org.sg/sparkletots,www.pcf.org.sg,333,shared_operator_page_candidate,not_verified,https://www.pcf.org.sg/sparkletots,
CENTRE:PT9397,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,546674,https://www.littlefootprints.edu.sg/,www.littlefootprints.edu.sg,37,shared_operator_page_candidate,not_verified,https://www.littlefootprints.edu.sg/,
CENTRE:PT9120,STAR LEARNERS @ RIVERVALE PTE LTD,540195,https://starlearners.com.sg/our-centres/sengkang-rivervale,starlearners.com.sg,1,school_specific_candidate,not_verified,https://starlearners.com.sg/our-centres/sengkang-rivervale,
CENTRE:NT0593,My First Skool,544576,https://www.myfirstskool.com/rvc03-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/rvc03-lifesg,
CENTRE:NT0568,MY FIRST SKOOL,540164,https://www.myfirstskool.com/rvc02-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/rvc02-lifesg,
CENTRE:NT0521,MY FIRST SKOOL,540153,https://www.myfirstskool.com/pwc-lifesg,www.myfirstskool.com,2,shared_operator_page_candidate,not_verified,https://www.myfirstskool.com/pwc-lifesg,
CENTRE:NT0370,MY FIRST SKOOL,540101,https://www.myfirstskool.com/skc-lifesg,www.myfirstskool.com,1,school_specific_candidate,not_verified,https://www.myfirstskool.com/skc-lifesg,
CENTRE:EB0003,E-BRIDGE PRE-SCHOOL PTE. LTD.,541178,https://info.e-bridge.edu.sg/registration-of-interest,info.e-bridge.edu.sg,23,shared_operator_page_candidate,not_verified,https://info.e-bridge.edu.sg/registration-of-interest,
CENTRE:EB0001,E-BRIDGE PRE-SCHOOL PTE. LTD.,541116,https://info.e-bridge.edu.sg/registration-of-interest,info.e-bridge.edu.sg,23,shared_operator_page_candidate,not_verified,https://info.e-bridge.edu.sg/registration-of-interest,
CENTRE:SK0040,SKOOL4KIDZ PRESCHOOL,570533,,,0,unavailable,unavailable,,
CENTRE:PT8587,PICKET FENCE @ TAMPINES PTE. LTD.,520817,https://www.pf-edu.com/,www.pf-edu.com,1,school_specific_candidate,not_verified,https://www.pf-edu.com/,
CENTRE:PT8352,SUNSHINE KIDS EDUCARE PRIVATE LIMITED,530321,https://www.sunshinekidseducare.online/,www.sunshinekidseducare.online,1,school_specific_candidate,not_verified,https://www.sunshinekidseducare.online/,
CENTRE:PT9922,Sunny Days Preschool,786015,,,0,unavailable,unavailable,,
CENTRE:RC1835,Soka Preschool,528888,https://www.sokapreschool.org/,www.sokapreschool.org,1,school_specific_candidate,not_verified,https://www.sokapreschool.org/,
CENTRE:RC1848,RIVERLIFE KINDERGARTEN,509026,https://www.riverlifekindergarten.org.sg/,www.riverlifekindergarten.org.sg,1,school_specific_candidate,not_verified,https://www.riverlifekindergarten.org.sg/,
CENTRE:PT4840,Pebble Place Development Centre,437565,https://www.pebbleplacedc.com/,www.pebbleplacedc.com,1,school_specific_candidate,not_verified,https://www.pebbleplacedc.com/,
CENTRE:PT9145,ORION PRESCHOOL,436959,https://www.orionpreschool.com.sg/,www.orionpreschool.com.sg,1,school_specific_candidate,not_verified,https://www.orionpreschool.com.sg/,
CENTRE:RC1150,MORIAH CHILD CARE AND DEVELOPMENT CENTRE,529974,https://www.moriahbpc.org/childcare,www.moriahbpc.org,1,school_specific_candidate,not_verified,https://www.moriahbpc.org/childcare,
CENTRE:PT9932,Lumina International School,119962,https://www.luminasg.com/,www.luminasg.com,1,school_specific_candidate,not_verified,https://www.luminasg.com/,
CENTRE:PT9692,Little Skittles International Preschool,438052,https://www.littleskittles.com.sg/,www.littleskittles.com.sg,1,school_specific_candidate,not_verified,https://www.littleskittles.com.sg/,
CENTRE:PT1090,KINDERCAMPUS (S) PTE LTD,359756,,,0,unavailable,unavailable,,
CENTRE:RC1680,KIDS' KINGDOM CHILD DEVELOPMENT AND LEARNING CENTRE,828850,http://www.kidskingdomcdlc.com/,www.kidskingdomcdlc.com,1,school_specific_candidate,not_verified,http://www.kidskingdomcdlc.com/,
CENTRE:RC1875,Jurong Calvary Kindergarten,618720,https://jurongcalvarykindergarten.com/,jurongcalvarykindergarten.com,1,school_specific_candidate,not_verified,https://jurongcalvarykindergarten.com/ | https://www.jck.edu.sg/,
CENTRE:PT9769,JHS Montessori,117488,,,0,unavailable,unavailable,,
CENTRE:PT5010,IDEAL MONTESSORI PTE LTD,357741,,,0,unavailable,unavailable,,
CENTRE:PT9523,GUG PRESCHOOL @ TAMPINES PTE LTD,529653,https://www.gugifted.com/,www.gugifted.com,1,school_specific_candidate,not_verified,https://www.gugifted.com/,
CENTRE:PT7800,GENIUS SCHOOL HOUSE,824637,https://www.geniusschoolhouse.com/,www.geniusschoolhouse.com,1,school_specific_candidate,not_verified,https://www.geniusschoolhouse.com/,
CENTRE:RC1799,David & Goliath Preschool,618744,https://www.davidgoliath.sg/,www.davidgoliath.sg,1,school_specific_candidate,not_verified,https://www.davidgoliath.sg/,
CENTRE:RC1754,CI AI EDUCATION INCUBATOR,822621,,,0,unavailable,unavailable,,
CENTRE:WP0300,CHANGI GENERAL HOSPITAL CHILD CARE CENTRE,529906,,,0,unavailable,unavailable,,
CENTRE:PT9585,Cedan Kindergarten,820198,https://www.cedankindergarten.com.sg/,www.cedankindergarten.com.sg,1,school_specific_candidate,not_verified,https://www.cedankindergarten.com.sg/,
CENTRE:PT9622,3HOUSE KINDERGARTEN (TAMPINES),520891,,,0,unavailable,unavailable,,
CENTRE:PT6860,EUREKA SCHOOLHOUSE PTE LTD,487127,,,0,unavailable,unavailable,,
CENTRE:PT9723,Greentree Montessori Children Cottage,769372,https://www.greentreemontessori.com/,www.greentreemontessori.com,5,shared_operator_page_candidate,not_verified,https://www.greentreemontessori.com/,
CENTRE:PT9474,Greentree Montessori Children Terrace Pte Ltd,574747,,,0,unavailable,unavailable,,
CENTRE:PT8853,Greentree Children Community Pte Ltd,769922,https://www.greentreemontessori.com/,www.greentreemontessori.com,5,shared_operator_page_candidate,not_verified,https://www.greentreemontessori.com/,
CENTRE:PT8541,Greentree Montessori Children House  Pte Ltd,574245,https://www.greentreemontessori.com/,www.greentreemontessori.com,5,shared_operator_page_candidate,not_verified,https://www.greentreemontessori.com/,
CENTRE:PT8518,GREENTREE MONTESSORI CHILDREN HUB PTE. LTD.,759130,https://www.greentreemontessori.com/,www.greentreemontessori.com,5,shared_operator_page_candidate,not_verified,https://www.greentreemontessori.com/,
CENTRE:PT9893,Emile Preschool @ APAC,319763,https://www.emilepreschool.com/,www.emilepreschool.com,2,shared_operator_page_candidate,not_verified,https://www.emilepreschool.com/,
CENTRE:PT9377,EMILE PRESCHOOL PTE. LTD.,536202,https://www.emilepreschool.com/,www.emilepreschool.com,2,shared_operator_page_candidate,not_verified,https://www.emilepreschool.com/,
CENTRE:PT9915,Eshkol Valley @ BP Pte Ltd,670537,https://www.eshkolvalley.com.sg/,www.eshkolvalley.com.sg,2,shared_operator_page_candidate,not_verified,https://www.eshkolvalley.com.sg/,
CENTRE:PT9852,Eshkol Valley @ PPCC Pte Ltd,118643,,,0,unavailable,unavailable,,
CENTRE:PT9205,Eshkol Valley @ Yishun Pte Ltd,768090,https://www.eshkolvalley.com.sg/,www.eshkolvalley.com.sg,2,shared_operator_page_candidate,not_verified,https://www.eshkolvalley.com.sg/,
CENTRE:PT9068,ESHKOL VALLEY @ NORTHSTAR PTE. LTD.,569880,https://eshkolvalley.com.sg/,eshkolvalley.com.sg,1,school_specific_candidate,not_verified,https://eshkolvalley.com.sg/,
CENTRE:PT9933,THE SCHOOLHOUSE PUNGGOL DIGITAL DISTRICT,829913,,,0,unavailable,unavailable,,
CENTRE:PT9366,The Schoolhouse West Coast,127309,https://theschoolhouse.com.sg/,theschoolhouse.com.sg,4,shared_operator_page_candidate,not_verified,https://theschoolhouse.com.sg/ | https://theschoolhouse.com.sg/west-coast,
CENTRE:PT8933,The Schoolhouse Sembawang (Sembawang Country Club),758352,,,0,unavailable,unavailable,,
CENTRE:PT8736,The Schoolhouse Dover,139659,https://theschoolhouse.com.sg/dover,theschoolhouse.com.sg,1,school_specific_candidate,not_verified,https://theschoolhouse.com.sg/dover,
CENTRE:PT8707,The Schoolhouse Alexandra,159919,,,0,unavailable,unavailable,,
CENTRE:PT8388,The Schoolhouse Katong,423935,https://www.theschoolhouse.com.sg/,www.theschoolhouse.com.sg,3,shared_operator_page_candidate,not_verified,https://www.theschoolhouse.com.sg/,
CENTRE:PT8374,The Schoolhouse Mount Emily,228126,https://theschoolhouse.com.sg/,theschoolhouse.com.sg,4,shared_operator_page_candidate,not_verified,https://theschoolhouse.com.sg/,
CENTRE:PT8040,The Schoolhouse Gentle Road,309198,https://theschoolhouse.com.sg/gentle-road,theschoolhouse.com.sg,1,school_specific_candidate,not_verified,https://theschoolhouse.com.sg/gentle-road,
CENTRE:PT1800,The Schoolhouse Buckley,309763,https://theschoolhouse.com.sg/,theschoolhouse.com.sg,4,shared_operator_page_candidate,not_verified,https://theschoolhouse.com.sg/,
CENTRE:PT9479,SMALL WONDER PRESCHOOL GAMBAS (NORDCOM II),757044,https://smallwonderpreschool.com/,smallwonderpreschool.com,9,shared_operator_page_candidate,not_verified,https://smallwonderpreschool.com/,
CENTRE:PT9456,Small Wonder Preschool Bukit Batok East,651296,,,0,unavailable,unavailable,,
CENTRE:PT9452,Small Wonder Preschool Pioneer,648965,,,0,unavailable,unavailable,,
CENTRE:PT9309,Small Wonder Preschool Bukit Panjang,670435,https://www.smallwonderpreschool.com/,www.smallwonderpreschool.com,5,shared_operator_page_candidate,not_verified,https://www.smallwonderpreschool.com/,
CENTRE:PT9085,Small Wonder Preschool Bukit Gombak,659003,https://smallwonderpreschool.com/,smallwonderpreschool.com,9,shared_operator_page_candidate,not_verified,https://smallwonderpreschool.com/,
CENTRE:PT8814,Small Wonder Preschool International Business Park,609930,,,0,unavailable,unavailable,,
CENTRE:PT8811,Small Wonder Preschool Choa Chu Kang,680253,http://www.smallwonderpreschool.com/,www.smallwonderpreschool.com,1,school_specific_candidate,not_verified,http://www.smallwonderpreschool.com/,
CENTRE:PT8743,Small Wonder Preschool Yishun (Street 71),760716,https://www.springbrainykidz.com/,www.springbrainykidz.com,1,school_specific_candidate,not_verified,https://www.springbrainykidz.com/,
